39, State-gov,77516, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male
50, Self-emp-not-inc,83311, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male
38, Private,215646, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White, Male
53, Private,234721, 11th,7, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male
28, Private,338409, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, Black, Female
37, Private,284582, Masters,14, Married-civ-spouse, Exec-managerial, Wife, White, Female
49, Private,160187, 9th,5, Married-spouse-absent, Other-service, Not-in-family, Black, Female
52, Self-emp-not-inc,209642, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male
31, Private,45781, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female
42, Private,159449, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male
37, Private,280464, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male
30, State-gov,141297, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male
23, Private,122272, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female
32, Private,205019, Assoc-acdm,12, Never-married, Sales, Not-in-family, Black, Male
40, Private,121772, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male
34, Private,245487, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male
25, Self-emp-not-inc,176756, HS-grad,9, Never-married, Farming-fishing, Own-child, White, Male
32, Private,186824, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, White, Male
38, Private,28887, 11th,7, Married-civ-spouse, Sales, Husband, White, Male
43, Self-emp-not-inc,292175, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female
40, Private,193524, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male
54, Private,302146, HS-grad,9, Separated, Other-service, Unmarried, Black, Female
35, Federal-gov,76845, 9th,5, Married-civ-spouse, Farming-fishing, Husband, Black, Male
43, Private,117037, 11th,7, Married-civ-spouse, Transport-moving, Husband, White, Male
59, Private,109015, HS-grad,9, Divorced, Tech-support, Unmarried, White, Female
56, Local-gov,216851, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male
19, Private,168294, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male
54, ?,180211, Some-college,10, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male
39, Private,367260, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male
49, Private,193366, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male
23, Local-gov,190709, Assoc-acdm,12, Never-married, Protective-serv, Not-in-family, White, Male
20, Private,266015, Some-college,10, Never-married, Sales, Own-child, Black, Male
45, Private,386940, Bachelors,13, Divorced, Exec-managerial, Own-child, White, Male
30, Federal-gov,59951, Some-college,10, Married-civ-spouse, Adm-clerical, Own-child, White, Male
22, State-gov,311512, Some-college,10, Married-civ-spouse, Other-service, Husband, Black, Male
48, Private,242406, 11th,7, Never-married, Machine-op-inspct, Unmarried, White, Male
21, Private,197200, Some-college,10, Never-married, Machine-op-inspct, Own-child, White, Male
19, Private,544091, HS-grad,9, Married-AF-spouse, Adm-clerical, Wife, White, Female
31, Private,84154, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male
48, Self-emp-not-inc,265477, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White, Male
31, Private,507875, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
53, Self-emp-not-inc,88506, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male
24, Private,172987, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male
49, Private,94638, HS-grad,9, Separated, Adm-clerical, Unmarried, White, Female
25, Private,289980, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male
57, Federal-gov,337895, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Black, Male
53, Private,144361, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
44, Private,128354, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female
41, State-gov,101603, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male
29, Private,271466, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Male
25, Private,32275, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, Other, Female
18, Private,226956, HS-grad,9, Never-married, Other-service, Own-child, White, Female
47, Private,51835, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White, Female
50, Federal-gov,251585, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male
47, Self-emp-inc,109832, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male
43, Private,237993, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male
46, Private,216666, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
35, Private,56352, Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White, Male
41, Private,147372, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male
30, Private,188146, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
30, Private,59496, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male
32, ?,293936, 7th-8th,4, Married-spouse-absent, ?, Not-in-family, White, Male
48, Private,149640, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male
42, Private,116632, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male
29, Private,105598, Some-college,10, Divorced, Tech-support, Not-in-family, White, Male
36, Private,155537, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male
28, Private,183175, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female
53, Private,169846, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female
49, Self-emp-inc,191681, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male
25, ?,200681, Some-college,10, Never-married, ?, Own-child, White, Male
19, Private,101509, Some-college,10, Never-married, Prof-specialty, Own-child, White, Male
