39, State-gov,77516, Bachelors
50, Self-emp-not-inc,83311, Bachelors
38, Private,215646, HS-grad
53, Private,234721, 11th
28, Private,338409, Bachelors
37, Private,284582, Masters
49, Private,160187, 9th
52, Self-emp-not-inc,209642, HS-grad
31, Private,45781, Masters
42, Private,159449, Bachelors
37, Private,280464, Some-college
30, State-gov,141297, Bachelors
23, Private,122272, Bachelors
32, Private,205019, Assoc-acdm
40, Private,121772, Assoc-voc
34, Private,245487, 7th-8th
25, Self-emp-not-inc,176756, HS-grad
32, Private,186824, HS-grad
38, Private,28887, 11th
43, Self-emp-not-inc,292175, Masters
40, Private,193524, Doctorate
54, Private,302146, HS-grad
35, Federal-gov,76845, 9th
43, Private,117037, 11th
59, Private,109015, HS-grad
56, Local-gov,216851, Bachelors
19, Private,168294, HS-grad
54, ?,180211, Some-college
39, Private,367260, HS-grad
49, Private,193366, HS-grad
23, Local-gov,190709, Assoc-acdm
20, Private,266015, Some-college
45, Private,386940, Bachelors
30, Federal-gov,59951, Some-college
22, State-gov,311512, Some-college
48, Private,242406, 11th
21, Private,197200, Some-college
19, Private,544091, HS-grad
31, Private,84154, Some-college
48, Self-emp-not-inc,265477, Assoc-acdm
31, Private,507875, 9th
53, Self-emp-not-inc,88506, Bachelors
24, Private,172987, Bachelors
49, Private,94638, HS-grad
25, Private,289980, HS-grad
57, Federal-gov,337895, Bachelors
53, Private,144361, HS-grad
44, Private,128354, Masters
41, State-gov,101603, Assoc-voc
29, Private,271466, Assoc-voc
25, Private,32275, Some-college
18, Private,226956, HS-grad
47, Private,51835, Prof-school
50, Federal-gov,251585, Bachelors
47, Self-emp-inc,109832, HS-grad
43, Private,237993, Some-college
46, Private,216666, 5th-6th
35, Private,56352, Assoc-voc
41, Private,147372, HS-grad
30, Private,188146, HS-grad
30, Private,59496, Bachelors
32, ?,293936, 7th-8th
48, Private,149640, HS-grad
42, Private,116632, Doctorate
29, Private,105598, Some-college
36, Private,155537, HS-grad
28, Private,183175, Some-college
53, Private,169846, HS-grad
49, Self-emp-inc,191681, Some-college
25, ?,200681, Some-college
19, Private,101509, Some-college
31, Private,309974, Bachelors
29, Self-emp-not-inc,162298, Bachelors
23, Private,211678, Some-college
79, Private,124744, Some-college
27, Private,213921, HS-grad
40, Private,32214, Assoc-acdm
67, ?,212759, 10th
18, Private,309634, 11th
31, Local-gov,125927, 7th-8th
18, Private,446839, HS-grad
52, Private,276515, Bachelors
46, Private,51618, HS-grad
59, Private,159937, HS-grad
44, Private,343591, HS-grad
53, Private,346253, HS-grad
49, Local-gov,268234, HS-grad
33, Private,202051, Masters
30, Private,54334, 9th
43, Federal-gov,410867, Doctorate
57, Private,249977, Assoc-voc
37, Private,286730, Some-college
28, Private,212563, Some-college
30, Private,117747, HS-grad
34, Local-gov,226296, Bachelors
29, Local-gov,115585, Some-college
48, Self-emp-not-inc,191277, Doctorate
37, Private,202683, Some-college
48, Private,171095, Assoc-acdm
32, Federal-gov,249409, HS-grad
