39, State-gov,77516, Bachelors,13
50, Self-emp-not-inc,83311, Bachelors,13
38, Private,215646, HS-grad,9
53, Private,234721, 11th,7
28, Private,338409, Bachelors,13
37, Private,284582, Masters,14
49, Private,160187, 9th,5
52, Self-emp-not-inc,209642, HS-grad,9
31, Private,45781, Masters,14
42, Private,159449, Bachelors,13
37, Private,280464, Some-college,10
30, State-gov,141297, Bachelors,13
23, Private,122272, Bachelors,13
32, Private,205019, Assoc-acdm,12
40, Private,121772, Assoc-voc,11
34, Private,245487, 7th-8th,4
25, Self-emp-not-inc,176756, HS-grad,9
32, Private,186824, HS-grad,9
38, Private,28887, 11th,7
43, Self-emp-not-inc,292175, Masters,14
40, Private,193524, Doctorate,16
54, Private,302146, HS-grad,9
35, Federal-gov,76845, 9th,5
43, Private,117037, 11th,7
59, Private,109015, HS-grad,9
56, Local-gov,216851, Bachelors,13
19, Private,168294, HS-grad,9
54, ?,180211, Some-college,10
39, Private,367260, HS-grad,9
49, Private,193366, HS-grad,9
23, Local-gov,190709, Assoc-acdm,12
20, Private,266015, Some-college,10
45, Private,386940, Bachelors,13
30, Federal-gov,59951, Some-college,10
22, State-gov,311512, Some-college,10
48, Private,242406, 11th,7
21, Private,197200, Some-college,10
19, Private,544091, HS-grad,9
31, Private,84154, Some-college,10
48, Self-emp-not-inc,265477, Assoc-acdm,12
31, Private,507875, 9th,5
53, Self-emp-not-inc,88506, Bachelors,13
24, Private,172987, Bachelors,13
49, Private,94638, HS-grad,9
25, Private,289980, HS-grad,9
57, Federal-gov,337895, Bachelors,13
53, Private,144361, HS-grad,9
44, Private,128354, Masters,14
41, State-gov,101603, Assoc-voc,11
29, Private,271466, Assoc-voc,11
25, Private,32275, Some-college,10
18, Private,226956, HS-grad,9
47, Private,51835, Prof-school,15
50, Federal-gov,251585, Bachelors,13
47, Self-emp-inc,109832, HS-grad,9
43, Private,237993, Some-college,10
46, Private,216666, 5th-6th,3
35, Private,56352, Assoc-voc,11
41, Private,147372, HS-grad,9
30, Private,188146, HS-grad,9
30, Private,59496, Bachelors,13
32, ?,293936, 7th-8th,4
48, Private,149640, HS-grad,9
42, Private,116632, Doctorate,16
29, Private,105598, Some-college,10
36, Private,155537, HS-grad,9
28, Private,183175, Some-college,10
53, Private,169846, HS-grad,9
49, Self-emp-inc,191681, Some-college,10
25, ?,200681, Some-college,10
19, Private,101509, Some-college,10
31, Private,309974, Bachelors,13
29, Self-emp-not-inc,162298, Bachelors,13
23, Private,211678, Some-college,10
79, Private,124744, Some-college,10
27, Private,213921, HS-grad,9
40, Private,32214, Assoc-acdm,12
67, ?,212759, 10th,6
18, Private,309634, 11th,7
31, Local-gov,125927, 7th-8th,4
18, Private,446839, HS-grad,9
52, Private,276515, Bachelors,13
46, Private,51618, HS-grad,9
59, Private,159937, HS-grad,9
44, Private,343591, HS-grad,9
53, Private,346253, HS-grad,9
49, Local-gov,268234, HS-grad,9
33, Private,202051, Masters,14
30, Private,54334, 9th,5
43, Federal-gov,410867, Doctorate,16
57, Private,249977, Assoc-voc,11
37, Private,286730, Some-college,10
28, Private,212563, Some-college,10
30, Private,117747, HS-grad,9
34, Local-gov,226296, Bachelors,13
29, Local-gov,115585, Some-college,10
48, Self-emp-not-inc,191277, Doctorate,16
37, Private,202683, Some-college,10
48, Private,171095, Assoc-acdm,12
32, Federal-gov,249409, HS-grad,9
