39, State-gov,77516, Bachelors,13, Never-married
50, Self-emp-not-inc,83311, Bachelors,13, Married-civ-spouse
38, Private,215646, HS-grad,9, Divorced
53, Private,234721, 11th,7, Married-civ-spouse
28, Private,338409, Bachelors,13, Married-civ-spouse
37, Private,284582, Masters,14, Married-civ-spouse
49, Private,160187, 9th,5, Married-spouse-absent
52, Self-emp-not-inc,209642, HS-grad,9, Married-civ-spouse
31, Private,45781, Masters,14, Never-married
42, Private,159449, Bachelors,13, Married-civ-spouse
37, Private,280464, Some-college,10, Married-civ-spouse
30, State-gov,141297, Bachelors,13, Married-civ-spouse
23, Private,122272, Bachelors,13, Never-married
32, Private,205019, Assoc-acdm,12, Never-married
40, Private,121772, Assoc-voc,11, Married-civ-spouse
34, Private,245487, 7th-8th,4, Married-civ-spouse
25, Self-emp-not-inc,176756, HS-grad,9, Never-married
32, Private,186824, HS-grad,9, Never-married
38, Private,28887, 11th,7, Married-civ-spouse
43, Self-emp-not-inc,292175, Masters,14, Divorced
40, Private,193524, Doctorate,16, Married-civ-spouse
54, Private,302146, HS-grad,9, Separated
35, Federal-gov,76845, 9th,5, Married-civ-spouse
43, Private,117037, 11th,7, Married-civ-spouse
59, Private,109015, HS-grad,9, Divorced
56, Local-gov,216851, Bachelors,13, Married-civ-spouse
19, Private,168294, HS-grad,9, Never-married
54, ?,180211, Some-college,10, Married-civ-spouse
39, Private,367260, HS-grad,9, Divorced
49, Private,193366, HS-grad,9, Married-civ-spouse
23, Local-gov,190709, Assoc-acdm,12, Never-married
20, Private,266015, Some-college,10, Never-married
45, Private,386940, Bachelors,13, Divorced
30, Federal-gov,59951, Some-college,10, Married-civ-spouse
22, State-gov,311512, Some-college,10, Married-civ-spouse
48, Private,242406, 11th,7, Never-married
21, Private,197200, Some-college,10, Never-married
19, Private,544091, HS-grad,9, Married-AF-spouse
31, Private,84154, Some-college,10, Married-civ-spouse
48, Self-emp-not-inc,265477, Assoc-acdm,12, Married-civ-spouse
31, Private,507875, 9th,5, Married-civ-spouse
53, Self-emp-not-inc,88506, Bachelors,13, Married-civ-spouse
24, Private,172987, Bachelors,13, Married-civ-spouse
49, Private,94638, HS-grad,9, Separated
25, Private,289980, HS-grad,9, Never-married
57, Federal-gov,337895, Bachelors,13, Married-civ-spouse
53, Private,144361, HS-grad,9, Married-civ-spouse
44, Private,128354, Masters,14, Divorced
41, State-gov,101603, Assoc-voc,11, Married-civ-spouse
29, Private,271466, Assoc-voc,11, Never-married
25, Private,32275, Some-college,10, Married-civ-spouse
18, Private,226956, HS-grad,9, Never-married
47, Private,51835, Prof-school,15, Married-civ-spouse
50, Federal-gov,251585, Bachelors,13, Divorced
47, Self-emp-inc,109832, HS-grad,9, Divorced
43, Private,237993, Some-college,10, Married-civ-spouse
46, Private,216666, 5th-6th,3, Married-civ-spouse
35, Private,56352, Assoc-voc,11, Married-civ-spouse
41, Private,147372, HS-grad,9, Married-civ-spouse
30, Private,188146, HS-grad,9, Married-civ-spouse
30, Private,59496, Bachelors,13, Married-civ-spouse
32, ?,293936, 7th-8th,4, Married-spouse-absent
48, Private,149640, HS-grad,9, Married-civ-spouse
42, Private,116632, Doctorate,16, Married-civ-spouse
29, Private,105598, Some-college,10, Divorced
36, Private,155537, HS-grad,9, Married-civ-spouse
28, Private,183175, Some-college,10, Divorced
53, Private,169846, HS-grad,9, Married-civ-spouse
49, Self-emp-inc,191681, Some-college,10, Married-civ-spouse
25, ?,200681, Some-college,10, Never-married
19, Private,101509, Some-college,10, Never-married
31, Private,309974, Bachelors,13, Separated
29, Self-emp-not-inc,162298, Bachelors,13, Married-civ-spouse
23, Private,211678, Some-college,10, Never-married
79, Private,124744, Some-college,10, Married-civ-spouse
27, Private,213921, HS-grad,9, Never-married
40, Private,32214, Assoc-acdm,12, Married-civ-spouse
67, ?,212759, 10th,6, Married-civ-spouse
18, Private,309634, 11th,7, Never-married
31, Local-gov,125927, 7th-8th,4, Married-civ-spouse
18, Private,446839, HS-grad,9, Never-married
52, Private,276515, Bachelors,13, Married-civ-spouse
46, Private,51618, HS-grad,9, Married-civ-spouse
59, Private,159937, HS-grad,9, Married-civ-spouse
44, Private,343591, HS-grad,9, Divorced
53, Private,346253, HS-grad,9, Divorced
49, Local-gov,268234, HS-grad,9, Married-civ-spouse
33, Private,202051, Masters,14, Married-civ-spouse
30, Private,54334, 9th,5, Never-married
43, Federal-gov,410867, Doctorate,16, Never-married
57, Private,249977, Assoc-voc,11, Married-civ-spouse
37, Private,286730, Some-college,10, Divorced
28, Private,212563, Some-college,10, Divorced
30, Private,117747, HS-grad,9, Married-civ-spouse
34, Local-gov,226296, Bachelors,13, Married-civ-spouse
29, Local-gov,115585, Some-college,10, Never-married
48, Self-emp-not-inc,191277, Doctorate,16, Married-civ-spouse
37, Private,202683, Some-college,10, Married-civ-spouse
48, Private,171095, Assoc-acdm,12, Divorced
32, Federal-gov,249409, HS-grad,9, Never-married
