39, State-gov,77516, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White
50, Self-emp-not-inc,83311, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
38, Private,215646, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White
53, Private,234721, 11th,7, Married-civ-spouse, Handlers-cleaners, Husband, Black
28, Private,338409, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, Black
37, Private,284582, Masters,14, Married-civ-spouse, Exec-managerial, Wife, White
49, Private,160187, 9th,5, Married-spouse-absent, Other-service, Not-in-family, Black
52, Self-emp-not-inc,209642, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
31, Private,45781, Masters,14, Never-married, Prof-specialty, Not-in-family, White
42, Private,159449, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
37, Private,280464, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black
30, State-gov,141297, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander
23, Private,122272, Bachelors,13, Never-married, Adm-clerical, Own-child, White
32, Private,205019, Assoc-acdm,12, Never-married, Sales, Not-in-family, Black
40, Private,121772, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander
34, Private,245487, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo
25, Self-emp-not-inc,176756, HS-grad,9, Never-married, Farming-fishing, Own-child, White
32, Private,186824, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, White
38, Private,28887, 11th,7, Married-civ-spouse, Sales, Husband, White
43, Self-emp-not-inc,292175, Masters,14, Divorced, Exec-managerial, Unmarried, White
40, Private,193524, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White
54, Private,302146, HS-grad,9, Separated, Other-service, Unmarried, Black
35, Federal-gov,76845, 9th,5, Married-civ-spouse, Farming-fishing, Husband, Black
43, Private,117037, 11th,7, Married-civ-spouse, Transport-moving, Husband, White
59, Private,109015, HS-grad,9, Divorced, Tech-support, Unmarried, White
56, Local-gov,216851, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White
19, Private,168294, HS-grad,9, Never-married, Craft-repair, Own-child, White
54, ?,180211, Some-college,10, Married-civ-spouse, ?, Husband, Asian-Pac-Islander
39, Private,367260, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White
49, Private,193366, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
23, Local-gov,190709, Assoc-acdm,12, Never-married, Protective-serv, Not-in-family, White
20, Private,266015, Some-college,10, Never-married, Sales, Own-child, Black
45, Private,386940, Bachelors,13, Divorced, Exec-managerial, Own-child, White
30, Federal-gov,59951, Some-college,10, Married-civ-spouse, Adm-clerical, Own-child, White
22, State-gov,311512, Some-college,10, Married-civ-spouse, Other-service, Husband, Black
48, Private,242406, 11th,7, Never-married, Machine-op-inspct, Unmarried, White
21, Private,197200, Some-college,10, Never-married, Machine-op-inspct, Own-child, White
19, Private,544091, HS-grad,9, Married-AF-spouse, Adm-clerical, Wife, White
31, Private,84154, Some-college,10, Married-civ-spouse, Sales, Husband, White
48, Self-emp-not-inc,265477, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White
31, Private,507875, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White
53, Self-emp-not-inc,88506, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
24, Private,172987, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White
49, Private,94638, HS-grad,9, Separated, Adm-clerical, Unmarried, White
25, Private,289980, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White
57, Federal-gov,337895, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Black
53, Private,144361, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
